question,category,type
What are the main ingredients of Classic Margherita Pizza?,factual,ingredient
How do you roll out the pizza dough without sticking?,how-to,instruction
What is the significance of using San Marzano tomatoes in this recipe?,detail,ingredient
Can I substitute fresh mozzarella with shredded mozzarella?,substitution,ingredient
How does Classic Margherita Pizza differ from a Pepperoni Pizza?,comparison,dish
What is the origin of Chicken Tikka Masala?,factual,knowledge
How do I marinate the chicken properly for the recipe?,how-to,instructional
What is the role of yogurt in the marination process?,detail,explanatory
Can I substitute the chicken breast with tofu for a vegetarian option?,substitution,transformative
How does Chicken Tikka Masala compare to Butter Chicken?,comparison,analytical
What are the main ingredients in a Caesar salad?,Factual,Information
How do you make the Caesar dressing from scratch?,How-To,Instructional
What type of lettuce is traditionally used in a Caesar salad?,Detail,Information
What can I use instead of anchovy paste in a Caesar salad?,Substitution,Advice
How does Caesar salad compare to Greek salad in terms of ingredients?,Comparison,Information
What are the main ingredients needed for beef tacos?,factual,fact
How do I make the taco seasoning from scratch?,how-to,how-to
What is the best type of lettuce to use for tacos?,detail,detail
Can I use ground turkey instead of ground beef for the tacos?,substitution,substitution
How do beef tacos compare to chicken tacos in flavor and preparation?,comparison,comparison
What type of cuisine is Vegetable Stir Fry?,Factual,multiple-choice
How do I make the cornstarch slurry for this recipe?,How-To,open-ended
What is the cooking time for the stir fry before serving?,Detail,open-ended
Can I substitute olive oil for sesame oil in this recipe?,Substitution,yes/no
How does Vegetable Stir Fry compare to Chicken Stir Fry in terms of ingredients?,Comparison,open-ended
What is the origin of Spaghetti Carbonara?,Factual,general
How do I know when the spaghetti is al dente?,How-to,cooking
What is the role of egg yolks in the sauce?,Detail,ingredient
Can I use bacon instead of guanciale?,Substitution,ingredient
How does Spaghetti Carbonara compare to Fettuccine Alfredo?,Comparison,dishes
What type of meat is used in this Thai Green Curry?,factual,general
How do I know when the chicken is sealed?,how-to,cooking technique
What is the purpose of adding palm sugar to the curry?,detail,ingredient function
Can I substitute chicken with tofu in this recipe?,substitution,ingredient substitution
How does Thai Green Curry compare to Massaman Curry?,comparison,dish comparison
What are the main ingredients of a Greek salad?,factual,ingredient
How do you prepare the vegetables for a Greek salad?,how-to,instruction
What is the importance of letting the salad sit for 5 minutes before serving?,detail,instruction
What can I use as a substitute for Kalamata olives in a Greek salad?,substitution,ingredient
How does a Greek salad compare to a Caesar salad?,comparison,dish
What are the main ingredients in a Chocolate Lava Cake?,Factual,Recipe
How do you prevent the chocolate from burning while melting?,How-To,Recipe
What is the texture of the center of the Chocolate Lava Cake supposed to be?,Detail,Recipe
Can I substitute dark chocolate with milk chocolate in the recipe?,Substitution,Recipe
How does Chocolate Lava Cake differ from a regular chocolate cake?,Comparison,Recipe
What is dashi stock and how is it made?,factual,general
How do I properly prepare the wakame seaweed for miso soup?,how-to,general
What is the role of miso paste in the flavor of the soup?,detail,general
Can I use vegetable broth instead of dashi stock?,substitution,general
"How does miso soup compare to other Japanese soups, like ramen or udon?",comparison,general
What are the main ingredients needed for banana pancakes?,factual,recipe
How do I know when to flip the pancakes?,how-to,cooking technique
What is the purpose of adding baking powder to the recipe?,detail,cooking process
What can I use instead of eggs in the banana pancake recipe?,substitution,ingredient alternative
How do banana pancakes compare to regular pancakes in terms of taste?,comparison,dish comparison
What is the main ingredient in a Lamb Shawarma Bowl?,factual,information
How do you properly marinate the lamb for the shawarma?,how-to,instruction
What are the key spices used in the lamb marinade?,detail,information
Can I use chicken instead of lamb for this recipe?,substitution,information
How does a Lamb Shawarma Bowl compare to a Beef Gyro Bowl in flavor?,comparison,information
What type of rice is used in mushroom risotto?,factual,fact
How do I make the risotto creamy?,how-to,method
What kind of mushrooms can I use in this recipe?,detail,ingredient
Can I substitute arborio rice with another type of rice?,substitution,ingredient
How does mushroom risotto compare to seafood risotto?,comparison,dish
What type of fish is traditionally used in fish and chips?,factual,general
How do you achieve the perfect batter for the fish?,how-to,cooking technique
What is the purpose of soaking the potatoes in cold water?,detail,ingredient preparation
What can I use as a substitute for beer in the batter?,substitution,ingredient alternative
How does fish and chips compare to tempura?,comparison,dish comparison
What are the main ingredients in a Falafel Wrap?,Factual,Information
How do I properly form the falafel mixture into balls or patties?,How-to,Instruction
What role does baking powder play in the falafel recipe?,Detail,Explanation
Can I substitute dried chickpeas with canned chickpeas in the recipe?,Substitution,Inquiry
How does falafel compare to other Middle Eastern dishes like shawarma?,Comparison,Analysis
